route_class,customers_class,window_class,method,n_feasible,n_gap_samples,n_infeasible_excluded,n_unsolved_excluded,gap_mean_%,gap_std_%,gap_median_%,gap_q1_%,gap_q3_%,gap_min_%,gap_max_%
short,medium,large,RO,50,50,0,0,34.036,14.665,37.684,31.620,44.215,2.572,54.972
short,medium,large,ROBU,48,48,2,0,24.195,15.780,32.475,8.271,36.369,1.728,47.964
short,medium,large,greedy,49,49,1,0,17.186,4.085,16.885,14.066,18.913,10.412,26.871
short,medium,medium,2SP,45,45,5,0,4.592,6.180,3.291,2.393,4.773,1.522,43.783
short,medium,medium,LA,49,49,1,0,11.578,4.941,9.939,7.662,15.738,3.052,23.975
short,medium,medium,RO,50,50,0,0,30.588,18.711,39.118,10.982,46.621,2.904,58.042
short,medium,medium,ROBU,50,50,0,0,18.957,15.637,10.995,7.629,37.391,2.940,51.990
short,medium,medium,greedy,49,49,1,0,22.099,6.636,23.068,18.076,26.150,8.645,35.382
short,medium,none,2SP,46,46,4,0,4.271,4.848,3.698,2.822,4.409,1.445,35.486
short,medium,none,LA,50,50,0,0,8.756,13.475,7.029,4.884,8.227,3.169,100.945
short,medium,none,RO,50,50,0,0,20.912,14.073,31.315,4.473,32.905,1.999,36.626
short,medium,none,ROBU,49,49,1,0,16.068,14.095,4.498,3.687,31.129,1.388,33.509
short,medium,none,greedy,50,50,0,0,12.722,3.232,13.051,10.278,15.370,5.902,17.789
short,medium,tight,2SP,46,46,4,0,5.743,4.484,3.882,2.659,7.925,0.442,17.324
short,medium,tight,LA,50,50,0,0,15.219,6.945,15.316,10.375,19.160,3.702,40.209
short,medium,tight,RO,50,50,0,0,36.914,15.024,42.059,23.843,48.521,5.573,57.755
short,medium,tight,ROBU,48,48,2,0,27.671,15.388,21.754,15.243,43.650,1.275,53.400
short,medium,tight,greedy,49,49,1,0,28.259,4.888,27.942,25.724,31.561,17.348,37.792
