km,kw,hgv,truck,dist_km,lat,lon,name,osm
8.00,150.00,,,0.84,58.47,8.72,"Mer Extra Stoa",node/6016034834
8.00,150.00,,,0.91,58.46,8.71,"Mer OBS Arendal",node/7226581253
8.00,250.00,,,0.97,58.47,8.72,"Arendal Supercharger",node/11051454558
8.00,250.00,,,0.91,58.47,8.71,"Ragde Charge Stoa senter",node/12755217987
116.17,150.00,,,0.05,58.47,8.75,"Circle K E18 Arendal",node/6016034816
120.72,150.00,,,0.84,58.47,8.72,"Mer Extra Stoa",node/6016034834
120.72,150.00,,,0.65,58.46,8.71,"Mer OBS Arendal",node/7226581253
120.72,250.00,,,0.72,58.47,8.71,"Ragde Charge Stoa senter",node/12755217987
138.29,300.00,,,0.09,58.34,8.57,"Circle K Grimstad",node/6016034807
138.29,10.40,,,0.64,58.34,8.58,"Mer Dahlske videregående skole",node/6016034818
138.29,50.00,,,0.02,58.34,8.57,"Recharge McDonald's Grimstad",node/6016034821
138.29,20.00,,,0.87,58.33,8.57,"Mer Campus Grimstad Arena",node/6016034833
138.29,22.00,,,0.92,58.33,8.58,"UiA Grimstad",node/6016034839
138.29,11.00,,,0.79,58.34,8.58,"Mer Fagskole - Dahlske videregående skole",node/6968236223
138.29,3.60,,,0.87,58.34,8.58,"Mer Vinkelbygget - Dahlske videregående skole",node/6968236225
138.29,150.00,,,0.14,58.34,8.57,"Mer Extra Øygårdsdalen",node/8933643369
138.29,22.00,,,0.45,58.34,8.57,"Kople Grimstad Fagskole",node/10557751977
138.29,400.00,,,0.13,58.34,8.57,"Ionity Grimstad",node/12739474510
159.43,200.00,,,0.73,58.24,8.30,"E.ON Lillesand",node/6016034804
159.43,300.00,,,0.93,58.24,8.30,"Circle K E18 Lillesand",node/6016034806
159.43,150.00,,,0.97,58.24,8.30,"Lillesand Supercharger",node/6016034820
159.43,50.00,,,0.68,58.24,8.30,"Recharge YX Lillesand",node/6016034837
159.43,350.00,,,0.99,58.24,8.30,"Ionity Lillesand",node/6603282941
159.43,400.00,,,0.74,58.24,8.30,"Kople YX Lillesand E18",node/12824186860
171.78,200.00,,,0.63,58.19,8.16,"Recharge IKEA Sørlandet",node/6016034822
171.78,50.00,,,0.49,58.19,8.15,"Mer Obs bygg Sørlandsparken",node/6772591669
171.78,200.00,,,0.61,58.19,8.16,"Recharge Esso Kjuttaviga",node/11172580119
176.93,400.00,,,0.58,58.17,8.09,"Recharge YX Håneskrysset",node/11172580120
181.66,50.00,,,0.97,58.15,8.03,"Recharge Kiwi Lund",node/5248412718
181.66,22.00,,,0.96,58.16,8.00,"Kople Hokus Pokus Kristiansand UiA",node/6016123051
181.66,7.40,,,0.12,58.16,8.01,"Kople Kristiansand katedralskole Gimle",node/6016123053
181.66,400.00,,,0.71,58.15,8.01,"St1 Lading Valhalla",node/12776996420
186.09,,designated,,0.96,57.58,9.99,"",node/13793754382
199.89,250.00,,,0.79,57.46,10.04,"Hjørring Supercharger",way/1532804768
199.89,250.00,,,0.77,57.46,10.04,"Hjørring, Denmark - Sprogøvej",way/1532804784
199.89,150.00,,,0.76,57.46,10.04,"Hjørring Supercharger",node/2991256548
199.89,250.00,,,0.79,57.46,10.04,"Hjørring Supercharger",node/10802050797
244.68,300.00,,,0.08,57.09,9.97,"Clever Lynladestation Nørresundby",node/10813968416
244.68,,,,0.93,57.09,9.98,"Ionity",node/13392551779
244.68,,,,0.87,57.09,9.98,"Clever",node/13393635791
244.68,400.00,,,0.29,57.09,9.96,"Uno-X Truck",node/13988233570
254.44,,,,0.89,57.01,9.96,"E.ON",node/12046634539
254.44,300.00,,,0.98,57.02,9.96,"Shell Recharge",way/1454619373
263.10,240.00,,,0.53,56.95,9.86,"OK",way/1348691637
263.10,400.00,,,0.57,56.95,9.87,"EWII",way/1420044968
263.10,,,,0.50,56.95,9.86,"Norlys",way/1463699627
263.10,250.00,,,0.56,56.95,9.87,"Svenstrup Supercharger",way/1523348555
285.34,50.00,,,0.79,56.78,9.70,"Clever",node/5627652858
285.34,400.00,,,0.94,56.78,9.69,"OK",node/13108672433
285.34,250.00,,,0.97,56.78,9.69,"Haverslev Supercharger",way/1179589221
285.34,300.00,,,0.94,56.78,9.69,"E.ON",way/1305383689
285.34,350.00,,,0.86,56.78,9.69,"IONITY Nørager",way/1393692879
285.34,300.00,,,0.87,56.78,9.69,"Circle K Nørager",way/1393692880
285.34,400.00,,,0.74,56.78,9.70,"Norlys",way/1393692891
285.34,300.00,,,0.74,56.78,9.69,"Powered by E.ON Drive & Clever",way/1393692898
330.15,150.00,,,0.73,56.47,10.00,"Clever",way/1540099588
338.89,400.00,,,0.33,56.41,10.07,"Circle K TRUCK",node/13166760062
338.89,400.00,,,0.34,56.41,10.07,"OK TRUCK",node/13166760063
338.89,,,,0.82,56.41,10.07,"",node/13232111829
338.89,300.00,,,0.19,56.41,10.07,"Gl. Århusvej 3 UFC - E.ON",way/1178730932
338.89,150.00,,,0.19,56.41,10.07,"Norlys",way/1178730933
338.89,22.00,,,0.62,56.41,10.07,"",way/1328708657
338.89,300.00,,,0.17,56.41,10.07,"Uno-X",way/1432449298
338.89,22.00,,,0.22,56.41,10.08,"Norlys",way/1432453672
338.89,1000.00,yes,,0.31,56.41,10.08,"Norlys",way/1458242626
338.89,400.00,yes,,0.29,56.41,10.08,"Norlys",way/1458242627
338.89,22.00,,,0.64,56.41,10.07,"Clever",way/1496614408
338.89,22.00,,,0.61,56.41,10.07,"Clever",way/1496614409
338.89,22.00,,,0.59,56.41,10.07,"",way/1496614410
338.89,,,,0.20,56.41,10.08,"Gl. Århusvej",way/1499442490
389.31,,,,0.64,56.04,9.90,"Norlys",node/13567145719
408.44,150.00,,,0.72,55.89,9.79,"Q8 Vrøndingvej 1A",way/1209794746
408.44,300.00,,,0.96,55.89,9.78,"Provstlund UFC - E.ON",way/1284231890
423.51,150.00,,,0.51,55.79,9.67,"Hedensted Supercharger",way/1178628512
432.80,,,,0.49,55.72,9.58,"Clever",node/6113965436
432.80,300.00,,,0.37,55.72,9.57,"Circle K Vejle",node/9709795541
432.80,,,,0.38,55.73,9.58,"Bilka Vejle - Nord",node/12866780146
432.80,,,,1.00,55.72,9.56,"Shell Recharge",node/13920761947
432.80,,,,0.51,55.72,9.58,"Allego",way/1434148000
432.80,300.00,,,0.38,55.73,9.58,"Norlys",way/1466209437
432.80,200.00,,,0.92,55.72,9.56,"Q8",way/1478849182
437.15,,,,0.65,55.68,9.57,"",node/13096902107
437.15,,,,1.00,55.69,9.55,"Vinding Cykelcenter",node/13859713779
437.15,400.00,,,0.41,55.68,9.56,"Circle K Bøgeparken",way/1358783982
441.61,400.00,,,0.90,55.64,9.56,"Norlys",way/1531411479
441.61,400.00,,,0.95,55.64,9.56,"Circle K",way/1531411480
459.55,150.00,,,0.38,55.53,9.46,"",way/1209823515
459.55,300.00,,,0.55,55.53,9.47,"Lynladestation Kolding",way/1409427586
459.55,,,,0.94,55.52,9.46,"Shell Recharge",way/1454265549
545.27,50.00,,,0.69,54.83,9.33,"E.ON Drive Hurtiglader",node/9952359188
545.27,400.00,,,0.65,54.83,9.33,"Circle K",node/13451215817
549.37,160.00,,,0.96,54.78,9.33,"Allego",node/10858517311
549.37,,,,0.94,54.78,9.34,"Scandinavian Park Petersen KG",node/11006098800
553.70,,,,0.89,54.75,9.38,"Garten 2000 + mehr",node/6794669829
587.49,50.00,,,0.07,54.48,9.54,"Allego",node/5911914909
587.49,50.00,,,0.07,54.48,9.54,"Allego",node/5911914910
587.49,50.00,,,0.08,54.48,9.54,"Allego",node/5911914911
587.49,50.00,,,0.06,54.48,9.54,"Allego",node/5911914912
587.49,150.00,,,0.22,54.48,9.55,"Allego",node/10858506723
587.49,500.00,,,0.21,54.48,9.54,"Busdorf Supercharger",way/1263809873
603.90,,,,0.97,54.36,9.67,"Autobahn Tank & Rast GmbH",node/5200384706
603.90,,,,0.92,54.36,9.67,"",node/13687159527
608.08,,,,0.97,54.33,9.70,"hansewerk",node/11627548855
630.92,,,,0.30,54.18,9.94,"Aral Pulse",node/9357197676
630.92,300.00,,,0.32,54.18,9.94,"EnBW Ladepark Autohof Bordesholm",way/1190406393
641.06,350.00,,,0.29,54.09,9.93,"Ionity Aalbek West",way/1316249006
641.06,175.00,,,0.26,54.09,9.93,"E.ON Drive Aalbek West",way/1316249007
650.59,,,,0.91,54.00,9.93,"GP Joule Connect GmbH & Co KG",node/12182944943
650.59,175.00,,,0.88,54.01,9.93,"E.ON Drive Brokenlande Ost",way/1316249000
650.59,350.00,,,0.91,54.01,9.93,"Ionity Brokenlande Ost",way/1316249001
667.37,320.00,,,0.67,53.85,9.94,"Allego Dodenhof Kaltenkirchen",node/8863112517
667.37,,no,,0.81,53.84,9.94,"Pfalzwerke",node/13629943005
667.37,250.00,,,0.64,53.85,9.94,"Kaltenkirchen Supercharger",way/1259640804
675.70,22.00,,,0.92,53.78,9.95,"E.ON Drive Gut Kaden",way/1316044034
691.03,,,,0.36,53.63,9.92,"Stromnetz Hamburg",node/6515588856
691.03,,,,0.79,53.63,9.93,"Stromnetz Hamburg",node/6515588857
691.03,,,,0.59,53.63,9.92,"Stromnetz Hamburg",node/6781253329
691.03,,,,0.94,53.63,9.91,"Stromnetz Hamburg",node/13411290434
695.93,,,,0.99,53.59,9.90,"Stromnetz Hamburg",node/6515588853
695.93,,,,0.55,53.60,9.91,"Stromnetz Hamburg",node/6515588854
695.93,,,,0.41,53.60,9.92,"Bauhaus",node/8176199606
695.93,,,,0.98,53.60,9.92,"Lidl",node/8299239081
695.93,,,,0.15,53.59,9.92,"Shell Recharge",node/10844468658
695.93,,,,0.14,53.59,9.92,"Shell Recharge",node/10844468659
695.93,,,,0.71,53.59,9.93,"HEnW Mobil",node/11810072063
695.93,,,,0.70,53.59,9.93,"HEnW Mobil",node/11810072064
695.93,,,,0.83,53.59,9.93,"",node/12142897554
695.93,,,,0.83,53.59,9.93,"",node/12142897555
695.93,,,,0.82,53.60,9.92,"",node/12465161792
695.93,,,,0.77,53.59,9.92,"Stromnetz Hamburg",node/13059372049
695.93,,,,0.79,53.59,9.92,"Stromnetz Hamburg",node/13059372050
695.93,,,,0.17,53.59,9.92,"Shell Recharge",node/13074439644
695.93,,,,0.44,53.59,9.93,"HEnW Mobil",node/13709164044
695.93,,,,0.51,53.60,9.92,"EnBW Energie Baden-Württemberg AG",way/1365533698
700.45,,,,0.73,53.55,9.89,"Stromnetz Hamburg",node/5692525092
700.45,,,,0.95,53.56,9.89,"Stromnetz Hamburg",node/5692525098
700.45,,,,0.58,53.55,9.90,"HEnW Mobil",node/5694353201
700.45,22.00,,,0.17,53.55,9.90,"HEnW Mobil",node/6516969113
700.45,50.00,,,0.66,53.56,9.90,"Lidl",node/9847693767
700.45,,,,0.66,53.56,9.90,"Stromnetz Hamburg",node/9847693768
700.45,,,,0.97,53.56,9.91,"EZE",node/13260356506
700.45,,,,0.99,53.56,9.91,"Wirelane",node/13271101254
714.38,300.00,,,0.82,53.44,9.94,"Aral Ladestation",node/12855774083
731.67,22.00,,,0.73,53.37,9.71,"Volksbank Ladestation",node/12223160886
745.12,22.00,,,0.29,53.30,9.53,"Raststätte Ostetal Nord Ladestation",node/5652025940
745.12,,,,0.22,53.30,9.54,"Raststätte Ostetal Süd Ladestation",node/5652025944
745.12,50.00,,,0.20,53.30,9.54,"Ostetal-Sud",node/8255456984
745.12,350.00,,,0.25,53.30,9.53,"ionity",node/8255497308
790.96,,,,0.96,53.05,9.03,"",node/8639808043
790.96,,,,0.89,53.06,9.02,"Allego GmbH",node/9495012108
790.96,,,,0.99,53.06,9.02,"Autohaus Höper / Esso",node/9495034100
795.69,,,,0.59,53.03,8.97,"Gasthaus Gerken",node/9491646762
813.94,,,,0.84,53.01,8.71,"",node/13463238912
813.94,,,,0.84,53.01,8.71,"",node/13463238913
836.96,,,,0.88,52.92,8.43,"RWE Autostrom",node/1997335381
836.96,,,,0.90,52.91,8.43,"RWE Autostrom",node/2223533493
858.91,50.00,,,0.59,52.81,8.22,"EWE Go GmbH",node/8245708768
858.91,50.00,,,0.64,52.81,8.22,"EWE Go GmbH",node/8245708769
858.91,,,,0.64,52.81,8.22,"KFZ-Ladestation (Schnelllader)",node/13114269101
876.93,250.00,,,0.97,52.66,8.17,"Lohne Supercharger",node/4530382086
885.72,100.00,,,0.16,52.60,8.12,"EWE Go",node/8250678691
885.72,100.00,,,0.14,52.60,8.12,"EWE Go",node/12770903821
885.72,250.00,,,0.32,52.60,8.12,"Tesla Supercharger",way/1495941481
885.72,300.00,,,0.30,52.60,8.12,"EnBW mobility+ AG und Co.KG",way/1495941482
899.12,,,,0.96,52.49,8.06,"innogy",node/6665230031
899.12,300.00,,,0.35,52.49,8.08,"Aral Pulse Ladestation Neuenkirchen",node/9137222574
907.87,,,,0.17,52.42,8.03,"Autostrom Plus GmbH",node/13078902939
907.87,,,,0.86,52.42,8.03,"",node/13078908704
907.87,,,,0.15,52.42,8.03,"Autostrom Plus GmbH",node/13078923270
907.87,,,,0.84,52.42,8.03,"",node/13078926247
907.87,,,,0.16,52.42,8.03,"Autostrom Plus GmbH",node/13078930882
907.87,,,,0.16,52.42,8.03,"Autostrom Plus GmbH",node/13078935601
907.87,,,,0.84,52.42,8.03,"",node/13078935618
907.87,,,,0.85,52.42,8.03,"",node/13078942460
925.12,,,,0.42,52.30,7.95,"Shell Recharge Solutions",node/11035138597
925.12,22.00,no,,0.76,52.31,7.96,"Autohaus Starke GmbH & Co. KG",node/12909297756
925.12,,,,0.77,52.30,7.96,"EnBW Energie Baden-Württemberg AG",node/13008827093
929.52,,,,0.82,52.27,7.92,"RWE on Tour",node/9647800151
929.52,22.00,,,0.95,52.28,7.92,"Stadtwerke Tecklenburger Land GmbH & Co. KG",node/12909297799
934.95,,,no,0.27,52.26,7.85,"Ladestation Brockbachtal Süd",node/5643081982
934.95,,,no,0.19,52.26,7.85,"Ladestation Brockbachtal Nord",node/7760714364
939.31,22.00,,,0.96,52.26,7.79,"Stadtwerke Tecklenburger Land GmbH & Co. KG",node/7619274269
943.74,62.00,,,0.61,52.26,7.73,"ChargePoint",node/8636482384
943.74,22.00,,,0.59,52.26,7.73,"Stadtwerke Tecklenburger Land GmbH & Co. KG",node/9741711347
966.70,43.00,,,0.93,52.33,7.43,"innogy Rheine Nord",node/5638563088
966.70,50.00,,,0.72,52.32,7.43,"EWE Go GmbH",node/8266983370
966.70,,,,0.92,52.33,7.43,"IONITY",node/8456465162
966.70,,,,0.93,52.33,7.43,"IONITY",node/8456465163
966.70,,,,0.92,52.33,7.43,"IONITY",node/8456465164
966.70,,,,0.91,52.33,7.43,"IONITY",node/8456465165
966.70,,,,0.91,52.33,7.43,"IONITY",node/8456465166
966.70,,,,0.91,52.33,7.43,"IONITY",node/8456465167
966.70,200.00,,,0.34,52.32,7.43,"KS Holding GmbH",node/12905898463
966.70,200.00,,,0.34,52.32,7.43,"KS Holding GmbH",node/12905898464
966.70,22.00,no,,0.82,52.31,7.44,"RheiNet GmbH",node/12905898467
966.70,,,,0.89,52.33,7.43,"Shell Recharge Solutions",node/13608143702
998.33,43.00,,,0.92,52.31,7.04,"enbw Bentheimer Wald",node/5638346905
1011.39,300.00,,no,0.30,52.29,6.86,"Fastned Het Veelsveld",node/3605313902
1011.39,300.00,,,0.54,52.28,6.85,"Fastned Het Lonnekermeer",node/6268653595
1011.39,400.00,designated,,0.59,52.28,6.85,"Milence Truck Charging Hub Deurningen",node/13822346994
1015.71,,,,0.65,52.28,6.81,"",node/14011183007
1037.56,,,,0.70,52.29,6.53,"",node/9421209020
1054.49,,,,0.95,52.25,6.29,"",node/12529593842
1054.49,,,,0.96,52.25,6.29,"",node/12839477579
1054.49,,,,0.61,52.25,6.29,"",node/12839477580
1054.49,,,,0.51,52.25,6.29,"",node/12839477581
1058.84,,,,0.62,52.24,6.23,"Vattenfall InCharge",node/12451108305
1063.21,,,,0.49,52.24,6.18,"Allego",node/13914871483
1063.21,,,,0.50,52.24,6.18,"Allego",node/13914871485
1063.21,,,,0.51,52.24,6.18,"Allego",node/13914871487
1063.21,,,,0.51,52.24,6.18,"",node/13914871491
1063.21,,,,0.52,52.24,6.18,"",node/13914871493
1063.21,,,,0.43,52.24,6.18,"",node/13918061881
1063.21,,,,0.43,52.24,6.18,"",node/13918061888
1076.50,150.00,,,0.48,52.17,6.03,"Fastned De Brink",node/6269160017
1076.50,150.00,,,0.98,52.17,6.03,"Fastned De Somp",node/6269168525
1076.50,50.00,,,0.57,52.17,6.02,"",node/9969622305
1080.72,,,,0.57,52.15,6.01,"",node/9779158199
1080.72,,,,0.88,52.14,6.00,"Ecotap",node/9798142439
1080.72,,,,0.82,52.14,6.00,"",node/9798142440
1097.77,22.00,,,0.99,52.01,5.91,"",node/9692661171
1116.30,,,,0.80,52.02,5.66,"EVNET",node/7857152907
1116.30,,,,0.95,52.02,5.67,"EVBox",node/7857263685
1116.30,,,,0.95,52.02,5.67,"EVBox",node/7857263686
1116.30,,,,0.98,52.02,5.67,"",node/8892813149
1120.56,,,,0.88,52.03,5.61,"Greenpoint",node/10039034865
1124.90,,,,0.89,52.04,5.56,"Vattenfall InCharge",node/12343515080
1138.13,,,,0.59,52.07,5.35,"",node/9167577433
1138.13,17.00,,,0.70,52.06,5.37,"TotalEnergies",node/12181838873
1138.13,17.00,,,0.76,52.06,5.37,"TotalEnergies",node/12181838874
1146.89,,,,0.94,52.05,5.24,"",node/8305720613
1150.92,,,,0.85,52.07,5.19,"TotalEnergies",node/2164168819
1150.92,,,,0.82,52.06,5.19,"Elbizz",node/5785011816
1150.92,150.00,,,0.32,52.06,5.18,"Fastned De Forten",node/9812665725
1150.92,,,,0.97,52.07,5.19,"Shell Recharge",node/11944267087
1150.92,,,,0.98,52.07,5.19,"TotalEnergies",node/11944267088
1150.92,300.00,,,0.24,52.06,5.18,"Fastned",node/12119996900
1150.92,,,,0.91,52.07,5.18,"Theehuis Rhijnauwen",node/13963181701
1155.01,175.00,,,0.72,52.05,5.12,"Fastned Ravensewetering",node/8522460603
1155.01,,,,0.84,52.06,5.13,"TotalEnergies",node/11951399681
1155.01,,,,0.83,52.06,5.13,"TotalEnergies",node/11951399682
1155.01,,,,0.60,52.06,5.13,"Vattenfall InCharge",node/11951399683
1155.01,,,,0.67,52.06,5.13,"Equans",node/11951399684
1155.01,,,,0.44,52.06,5.13,"Equans",node/11951399685
1155.01,,,,0.47,52.06,5.13,"TotalEnergies",node/11951399686
1155.01,,,,0.51,52.06,5.13,"Equans",node/11951399687
1155.01,,,,0.61,52.06,5.14,"Equans",node/11951399688
1155.01,,,,0.76,52.06,5.14,"Equans",node/11951399689
1155.01,,,,0.92,52.06,5.14,"TotalEnergies",node/11951399690
1155.01,,,,0.92,52.06,5.14,"Equans",node/11951399691
1155.01,,,,0.99,52.06,5.12,"TotalEnergies",node/12811091956
1155.01,50.00,,,0.97,52.05,5.12,"Vattenfall InCharge",node/13474361315
1163.43,,,,0.52,52.08,5.01,"",node/9645327214
1163.43,,,,0.64,52.08,5.02,"Greenflux",node/9645327215
1163.43,,,,0.45,52.08,5.02,"",node/9645327216
1163.43,,,,0.54,52.08,5.01,"",node/9645336017
1163.43,,,,0.55,52.08,5.02,"Vattenfall",node/9645336020
1163.43,,,,0.99,52.08,5.01,"",node/9645350939
1163.43,,,,0.37,52.08,5.01,"",node/9803519774
1163.43,,,,0.34,52.08,5.01,"",node/9803519775
1163.43,,,,0.65,52.08,5.01,"",node/9803519776
1163.43,,,,0.62,52.08,5.01,"",node/9803519777
1163.43,,,,0.59,52.08,5.01,"",node/9803519778
1163.43,,,,0.78,52.08,5.01,"",node/9803519779
1163.43,,,,0.70,52.08,5.02,"",node/9803519780
1163.43,,,,0.61,52.08,5.02,"",node/9803519781
1163.43,,,,0.79,52.08,5.02,"",node/9803519782
1163.43,,,,0.94,52.08,5.02,"",node/9803942352
1163.43,300.00,,,0.92,52.08,5.00,"Shell Recharge",node/9804243606
1163.43,,,,0.92,52.08,5.03,"",node/9836052378
1163.43,,,,0.35,52.08,5.02,"",node/11435762041
1163.43,,,,0.52,52.08,5.01,"",node/11443249820
1163.43,,,,0.74,52.08,5.01,"Vattenfall",node/11805629938
1163.43,,,,0.90,52.08,5.01,"",node/13107689898
1163.43,,,,0.91,52.08,5.00,"NIO Power Swap",way/1189969278
1176.93,400.00,,,0.53,52.06,4.82,"Fastned Nieuwerbrug",node/13072518464
1185.39,,,,0.46,52.05,4.80,"Allego",node/9571188110
1185.39,,,,0.09,52.04,4.80,"Allego",node/9571188111
1185.39,,,,0.17,52.04,4.80,"Allego",node/9571188112
1185.39,,,,0.27,52.04,4.80,"Last Mile Solutions",node/10673760537
1190.10,400.00,yes,,0.33,52.07,4.85,"Entent Woerden",way/1474750836
1199.32,150.00,,,0.23,52.08,4.98,"Fastned Bijleveld",node/6269154250
1199.32,300.00,,,0.18,52.08,4.98,"Fastned Hellevliet",node/9809692780
1199.32,175.00,,,0.31,52.08,4.98,"Circle K",node/13360919901
1199.32,175.00,,,0.07,52.08,4.98,"Shell Recharge",way/1456713121
1203.79,,,,0.86,52.07,5.04,"",node/12388468994
1203.79,,,,0.85,52.07,5.04,"",node/13633513357
1208.12,,,,0.93,52.06,5.10,"MBO Utrecht",node/3507047971
1208.12,,,,0.66,52.06,5.12,"We Drive Solar",node/10112444048
1208.12,,,,0.67,52.06,5.12,"We Drive Solar",node/10112444049
1208.12,,,,0.75,52.06,5.12,"Ecotap",node/10112444123
1208.12,,,,0.56,52.06,5.12,"TotalEnergies",node/10112444518
1208.12,,,,0.56,52.06,5.12,"We Drive Solar",node/10112444529
1208.12,,,,0.69,52.06,5.12,"TotalEnergies",node/10112444674
1208.12,,,,0.75,52.06,5.12,"Ecotap",node/10112444754
1208.12,,,,0.98,52.07,5.10,"",node/10152161058
1208.12,,,,0.80,52.07,5.11,"ChargePoint",node/10683766014
1208.12,,,,0.83,52.07,5.11,"ChargePoint",node/10683766015
1208.12,300.00,,,0.84,52.05,5.11,"T-Electric",node/10718882545
1208.12,,,,0.88,52.07,5.11,"Gemeente Utrecht",node/10795471393
1208.12,,,,0.95,52.07,5.11,"We Drive Solar",node/11144270170
1208.12,,,,0.96,52.07,5.11,"",node/11144297679
1208.12,,,,0.95,52.07,5.11,"We Drive Solar",node/11144297680
1208.12,,,,0.95,52.07,5.11,"",node/11144589509
1208.12,,,,0.37,52.06,5.12,"Engie",node/11243130887
1208.12,,,,0.86,52.07,5.11,"",node/11406446996
1208.12,,,,0.78,52.07,5.11,"Gemeente Utrecht",node/12007271133
1208.12,,,,0.93,52.07,5.11,"Gemeente Utrecht",node/12007271137
1208.12,,,,0.43,52.06,5.12,"We Drive Solar",node/12007395637
1208.12,,,,0.43,52.06,5.12,"",node/12007395640
1208.12,,,,0.43,52.06,5.12,"We Drive Solar",node/12007395643
1208.12,,,,0.95,52.07,5.12,"Ecotap",node/12753686479
1208.12,,,,0.84,52.07,5.12,"Utrecht elektrisch",node/12753778486
1208.12,,,,0.83,52.07,5.12,"Ecotap",node/12753808890
1208.12,,,,0.67,52.06,5.12,"Ecotap",node/12799763480
1208.12,,,,0.68,52.06,5.12,"Ecotap",node/12799770513
1208.12,,,,0.91,52.07,5.12,"Ecotap",node/12809015073
1208.12,,,,0.82,52.07,5.12,"Ecotap",node/12809029524
1208.12,,,,0.91,52.07,5.12,"Ecotap",node/12809037205
1208.12,,,,0.68,52.06,5.12,"We Drive Solar",node/12809037211
1208.12,,,,0.68,52.06,5.12,"Ecotap",node/12809052427
1208.12,,,,0.87,52.07,5.12,"Ecotap",node/12809060516
1208.12,,,,0.87,52.07,5.12,"Ecotap",node/12809075128
1208.12,,,,0.96,52.07,5.12,"We Drive Solar",node/12810983699
1208.12,,,,0.97,52.07,5.12,"TotalEnergies",node/12811065436
1208.12,,,,0.64,52.06,5.11,"",node/12816730129
1208.12,,,,0.33,52.06,5.11,"",node/12816737351
1208.12,,,,0.89,52.07,5.11,"Equans",node/12816811814
1208.12,,,,0.81,52.06,5.10,"",node/12831792044
1208.12,,,,0.80,52.06,5.10,"",node/12831794366
1208.12,,,,0.96,52.07,5.10,"",node/12877638945
1208.12,,,,0.71,52.06,5.10,"",node/13075438711
1208.12,,,,0.70,52.06,5.10,"",node/13075438712
1208.12,,,,0.57,52.06,5.11,"",node/13172506986
1208.12,,,,0.84,52.06,5.10,"IKEA",node/13742518930
1208.12,,,,0.95,52.07,5.11,"",node/13749650477
1212.63,22.00,,,0.97,52.08,5.14,"",node/11253309854
1212.63,22.00,,,0.98,52.08,5.14,"",node/11253330790
1212.63,,,,0.44,52.07,5.15,"",node/11722311522
1217.65,,,,0.78,52.10,5.21,"",node/11829216970
1217.65,,,,0.48,52.09,5.21,"TotalEnergies",node/11933227439
1217.65,,,,0.54,52.09,5.21,"Vattenfall InCharge",node/11933227440
1217.65,,,,0.58,52.09,5.21,"TotalEnergies",node/11933227441
1217.65,,,,0.73,52.09,5.22,"TotalEnergies",node/11933227442
1217.65,,,,0.76,52.09,5.22,"TotalEnergies",node/11933227443
1217.65,,,,0.99,52.10,5.22,"TotalEnergies",node/11933227449
1217.65,,,,0.56,52.10,5.21,"TotalEnergies",node/11933227450
1217.65,,,,0.73,52.10,5.21,"Shell Recharge Solutions",node/11933227451
1217.65,,,,0.78,52.10,5.22,"TotalEnergies",node/11933227452
1217.65,,,,0.86,52.10,5.22,"TotalEnergies",node/11933227453
1217.65,,,,0.98,52.10,5.22,"TotalEnergies",node/11933227454
1217.65,,,,0.93,52.09,5.22,"TotalEnergies",node/11951384932
1221.68,,,,0.97,52.10,5.25,"TotalEnergies",node/11924681756
1221.68,300.00,,,0.35,52.10,5.26,"Shell Recharge Solutions",node/11924681762
1221.68,,,,0.71,52.11,5.25,"TotalEnergies",node/11933284722
1221.68,,,,0.25,52.11,5.26,"Abel Installatie",node/11933284723
1221.68,,,,0.41,52.10,5.26,"TotalEnergies",node/11933284724
1221.68,,,,0.42,52.10,5.26,"TotalEnergies",node/11933284725
1221.68,150.00,,,0.67,52.10,5.25,"Shell Recharge",way/1457080575
1230.92,,,,0.88,52.14,5.38,"",node/11912243492
1230.92,,,,0.95,52.14,5.38,"Allego",node/11912243504
1230.92,,,,0.99,52.14,5.39,"Allego",node/11912243518
1230.92,,,,0.85,52.14,5.39,"",node/11912243519
1236.18,,,,0.65,52.18,5.43,"van Harten",node/10694161423
1236.18,,,,0.95,52.17,5.42,"Park&Charge",node/11922704405
1236.18,,,,1.00,52.17,5.42,"Park&Charge",node/11922704406
1236.18,,,,0.96,52.18,5.42,"Park&Charge",node/11926927381
1236.18,,,,0.83,52.18,5.42,"Park&Charge",node/11926927382
1236.18,,,,0.95,52.18,5.42,"Allego",node/11926927383
1236.18,,,,0.80,52.18,5.43,"Allego",node/11926927386
1236.18,,,,0.90,52.18,5.43,"Park&Charge",node/11926927387
1236.18,,,,0.83,52.18,5.43,"Allego",node/11926927388
1236.18,,,,0.96,52.18,5.43,"Park&Charge",node/11926927389
1236.18,300.00,,,0.82,52.18,5.43,"Shell Recharge Solutions",node/11926927390
1249.93,,,,0.79,52.27,5.53,"Allego",node/10016776581
1249.93,,,,0.79,52.27,5.53,"Allego",node/10016776582
1259.34,,,,0.98,52.34,5.63,"PowerGo",node/13161712718
1269.43,175.00,,,0.35,52.36,5.77,"Fastned Hendriksbos",node/8526230925
1269.43,175.00,,,0.17,52.36,5.77,"Fastned Willemsbos",node/8526230926
1286.51,300.00,,,0.60,52.45,5.98,"Fastned Bornheim",node/6269155362
1291.14,,,,0.64,52.48,6.01,"",node/12512290680
1299.63,,,,0.98,52.52,6.04,"Allego",node/11936411355
1299.63,,,,0.99,52.52,6.05,"Vattenfall InCharge",node/11936411356
