route_class,customers_class,window_class,method,n_feasible,n_gap_samples,n_infeasible_excluded,n_unsolved_excluded,gap_mean_%,gap_std_%,gap_median_%,gap_q1_%,gap_q3_%,gap_min_%,gap_max_%
short,many,medium,RO,50,50,0,0,48.005,16.264,49.734,43.041,56.854,6.329,77.812
short,many,medium,ROBU,48,48,1,1,36.442,18.104,43.144,16.537,50.519,2.124,65.535
short,many,medium,greedy,49,39,1,0,32.566,15.036,28.891,23.688,34.253,11.253,70.969
short,many,none,2SP,49,49,1,0,4.723,6.550,3.115,2.499,3.812,0.731,34.516
short,many,none,LA,50,50,0,0,5.852,4.324,4.819,3.977,7.339,1.665,31.517
short,many,none,RO,50,50,0,0,26.795,9.371,29.957,28.397,31.790,2.940,34.650
short,many,none,ROBU,49,49,1,0,22.049,11.991,28.618,4.333,29.866,2.316,33.654
short,many,none,greedy,50,40,0,0,15.196,10.104,12.171,9.189,14.036,6.166,39.321
short,many,tight,2SP,44,44,6,0,10.398,10.646,6.710,3.385,12.792,1.403,55.337
short,many,tight,LA,47,47,3,0,17.016,13.469,11.647,7.042,23.240,2.795,57.899
short,many,tight,RO,50,50,0,0,52.029,14.261,54.250,44.340,62.288,19.226,73.968
short,many,tight,ROBU,47,47,2,1,45.864,15.609,46.962,36.321,55.963,15.472,72.599
short,many,tight,greedy,50,40,0,0,42.789,13.364,39.425,34.100,45.696,25.023,78.868
short,medium,large,2SP,46,46,4,0,3.619,1.424,3.534,2.744,4.232,1.048,8.152
short,medium,large,LA,50,50,0,0,11.492,4.498,11.672,8.430,14.262,3.785,21.519
short,medium,large,RO,50,50,0,0,34.036,14.665,37.684,31.620,44.215,2.572,54.972
short,medium,large,ROBU,48,48,2,0,24.195,15.780,32.475,8.271,36.369,1.728,47.964
short,medium,large,greedy,49,49,1,0,17.186,4.085,16.885,14.066,18.913,10.412,26.871
short,medium,medium,2SP,45,45,5,0,4.592,6.180,3.291,2.393,4.773,1.522,43.783
short,medium,medium,LA,49,49,0,0,11.578,4.941,9.939,7.662,15.738,3.052,23.975
short,medium,medium,RO,50,50,0,0,30.588,18.711,39.118,10.982,46.621,2.904,58.042
