  Executing ROBU plan AS IS (static, no recourse)...
  stop  81  t=78.482h soc=100kWh  cd=0.77 sd=0.77 h=0.77  -> y=1 brk=b45 rst=---
  stop  82  t=79.986h soc=346kWh  cd=0.26 sd=1.02 h=2.27  -> y=0 brk=--- rst=---
  stop  83  t=80.262h soc=322kWh  cd=0.53 sd=1.30 h=2.55  -> y=0 brk=--- rst=---
  stop  84  t=80.566h soc=300kWh  cd=0.84 sd=1.60 h=2.85  -> y=0 brk=--- rst=r1
  stop  85  t=92.028h soc=273kWh  cd=0.29 sd=0.29 h=0.29  -> y=0 brk=--- rst=---
  stop  86  t=92.346h soc=248kWh  cd=0.61 sd=0.61 h=0.61  -> y=0 brk=--- rst=---
  stop  87  t=92.660h soc=223kWh  cd=0.93 sd=0.93 h=0.93  -> y=0 brk=--- rst=---
  stop  88  t=92.921h soc=197kWh  cd=1.19 sd=1.19 h=1.19  -> y=0 brk=--- rst=---
  stop  89  t=93.226h soc=172kWh  cd=1.49 sd=1.49 h=1.49  -> y=0 brk=--- rst=---
  stop  90  t=93.490h soc=148kWh  cd=1.76 sd=1.76 h=1.76  -> y=0 brk=--- rst=---
  stop  91  t=93.759h soc=125kWh  cd=2.03 sd=2.03 h=2.03  -> y=0 brk=--- rst=---
  stop  92  t=94.019h soc=101kWh  cd=2.29 sd=2.29 h=2.29  -> y=1 brk=b45 rst=---
  stop  93  t=95.536h soc=320kWh  cd=0.24 sd=2.52 h=3.80  -> y=0 brk=--- rst=---
  stop  94  t=95.807h soc=298kWh  cd=0.51 sd=2.79 h=4.07  -> y=0 brk=--- rst=---
  stop  95  t=96.277h soc=273kWh  cd=0.98 sd=3.26 h=4.54  -> y=0 brk=--- rst=---
  stop  96  t=96.562h soc=246kWh  cd=1.26 sd=3.55 h=4.83  -> y=0 brk=--- rst=---
  stop  97  t=96.841h soc=222kWh  cd=1.54 sd=3.83 h=5.11  -> y=0 brk=--- rst=---
  stop  98  t=97.154h soc=199kWh  cd=1.85 sd=4.14 h=5.42  -> y=0 brk=--- rst=---
  stop  99  t=97.411h soc=175kWh  cd=2.11 sd=4.40 h=5.68  -> y=0 brk=--- rst=---
  stop 100  t=97.715h soc=152kWh  cd=2.42 sd=4.70 h=5.98  -> y=0 brk=--- rst=---
  stop 101  t=97.969h soc=126kWh  cd=2.67 sd=4.96 h=6.24  -> y=0 brk=--- rst=---
  stop 102  t=98.227h soc=100kWh  cd=2.93 sd=5.21 h=6.49  -> y=1 brk=b45 rst=---
  stop 103  t=99.584h soc=329kWh  cd=0.24 sd=5.45 h=7.85  -> y=0 brk=--- rst=---
  stop 104  t=99.915h soc=309kWh  cd=0.57 sd=5.78 h=8.18  -> y=0 brk=--- rst=---
  stop 105  t=100.162h soc=287kWh  cd=0.81 sd=6.03 h=8.43  -> y=0 brk=--- rst=---
  stop 106  t=100.458h soc=267kWh  cd=1.11 sd=6.32 h=8.73  -> y=0 brk=--- rst=r1
  stop 107  t=112.026h soc=232kWh  cd=0.40 sd=0.40 h=0.40  -> y=0 brk=--- rst=---
  stop 108  t=112.274h soc=207kWh  cd=0.65 sd=0.65 h=0.65  -> y=0 brk=--- rst=---
  stop 109  t=112.538h soc=183kWh  cd=0.91 sd=0.91 h=0.91  -> y=0 brk=--- rst=---
  stop 110  t=112.875h soc=161kWh  cd=1.25 sd=1.25 h=1.25  -> y=0 brk=--- rst=---
  stop 111  t=113.119h soc=136kWh  cd=1.49 sd=1.49 h=1.49  -> y=0 brk=--- rst=---
  Robust-plan failures (raw): 6 violation(s); 0 supervisor intervention(s)

=================================================================
  ROBU SIMULATION COMPLETE
  Arrival (absolute) : 113.525 h  (113:31)
  Travel duration    : 105.525 h
  Solve time         : 50413.9 s
  Wall-clock         : 50414.0 s
=================================================================
  Oracle   : loaded from cache  solutions/oracle_RmediumCfewTlarge_31.json
  Scenarios: logs/RmediumCfewTlarge_31_ROBU_20260722_134924_024_scenarios.json
  Metrics  : violations=6 (stranding:6)  tw_hit=0% (early=0, late=2)  interventions=0  repairs=0
  Solution : solutions/RmediumCfewTlarge_31_ROBU_20260722_134924_024.json
