  Executing ROBU plan AS IS (static, no recourse)...
  stop  60  t=53.905h soc=299kWh  cd=0.69 sd=5.61 h=8.43  -> y=0 brk=--- rst=---
  stop  61  t=54.146h soc=275kWh  cd=0.93 sd=5.85 h=8.67  -> y=0 brk=--- rst=---
  stop  62  t=54.386h soc=252kWh  cd=1.17 sd=6.09 h=8.91  -> y=0 brk=--- rst=---
  stop  63  t=54.702h soc=231kWh  cd=1.49 sd=6.40 h=9.22  -> y=0 brk=--- rst=---
  stop  64  t=54.968h soc=205kWh  cd=1.75 sd=6.67 h=9.49  -> y=0 brk=--- rst=---
  stop  65  t=55.238h soc=180kWh  cd=2.02 sd=6.94 h=9.76  -> y=0 brk=--- rst=r2
  stop  66  t=64.661h soc=154kWh  cd=0.26 sd=0.26 h=0.26  -> y=0 brk=--- rst=---
  stop  67  t=64.929h soc=128kWh  cd=0.52 sd=0.52 h=0.52  -> y=0 brk=--- rst=---
  stop  68  t=65.187h soc=102kWh  cd=0.78 sd=0.78 h=0.78  -> y=1 brk=b15 rst=---
  stop  69  t=66.388h soc=227kWh  cd=1.17 sd=1.17 h=1.98  -> y=0 brk=--- rst=---
  stop  70  t=66.626h soc=205kWh  cd=1.41 sd=1.41 h=2.22  -> y=0 brk=--- rst=---
  stop  71  t=66.848h soc=182kWh  cd=1.63 sd=1.63 h=2.44  -> y=0 brk=--- rst=---
  stop  72  t=67.172h soc=162kWh  cd=1.96 sd=1.96 h=2.77  -> y=0 brk=--- rst=---
  stop  73  t=67.403h soc=140kWh  cd=2.19 sd=2.19 h=3.00  -> y=0 brk=--- rst=---
  stop  74  t=67.653h soc=118kWh  cd=2.44 sd=2.44 h=3.25  -> y=0 brk=--- rst=---
  stop  75  t=67.888h soc=100kWh  cd=2.67 sd=2.67 h=3.48  -> y=1 brk=b30 rst=---
  stop  76  t=68.955h soc=240kWh  cd=0.22 sd=2.89 h=4.55  -> y=0 brk=--- rst=---
  stop  77  t=69.170h soc=219kWh  cd=0.43 sd=3.11 h=4.77  -> y=0 brk=--- rst=---
  stop  78  t=69.426h soc=199kWh  cd=0.69 sd=3.36 h=5.02  -> y=0 brk=--- rst=---
  stop  79  t=69.660h soc=176kWh  cd=0.92 sd=3.60 h=5.26  -> y=0 brk=--- rst=---
  stop  80  t=69.901h soc=153kWh  cd=1.17 sd=3.84 h=5.50  -> y=0 brk=--- rst=---
  stop  81  t=70.232h soc=132kWh  cd=1.50 sd=4.17 h=5.83  -> y=1 brk=b45 rst=---
  stop  82  t=71.491h soc=331kWh  cd=0.21 sd=4.38 h=7.09  -> y=0 brk=--- rst=---
