  Executing ROBU plan AS IS (static, no recourse)...
  stop  72  t=77.366h soc=196kWh  cd=1.35 sd=2.60 h=3.57  -> y=0 brk=--- rst=---
  stop  73  t=77.685h soc=171kWh  cd=1.67 sd=2.92 h=3.89  -> y=0 brk=--- rst=---
  stop  74  t=77.959h soc=145kWh  cd=1.94 sd=3.19 h=4.16  -> y=0 brk=--- rst=---
  stop  75  t=78.304h soc=122kWh  cd=2.29 sd=3.54 h=4.51  -> y=1 brk=b45 rst=---
  stop  76  t=79.900h soc=381kWh  cd=0.25 sd=3.79 h=6.10  -> y=0 brk=--- rst=---
  stop  77  t=80.203h soc=357kWh  cd=0.56 sd=4.10 h=6.41  -> y=0 brk=--- rst=---
  stop  78  t=80.425h soc=335kWh  cd=0.78 sd=4.32 h=6.63  -> y=0 brk=--- rst=---
  stop  79  t=80.648h soc=313kWh  cd=1.00 sd=4.54 h=6.85  -> y=0 brk=--- rst=---
  stop  80  t=80.882h soc=291kWh  cd=1.24 sd=4.77 h=7.09  -> y=0 brk=--- rst=---
  stop  81  t=81.116h soc=270kWh  cd=1.47 sd=5.01 h=7.32  -> y=0 brk=--- rst=---
  stop  82  t=81.453h soc=247kWh  cd=1.81 sd=5.35 h=7.66  -> y=0 brk=--- rst=---
  stop  83  t=81.703h soc=223kWh  cd=2.06 sd=5.60 h=7.91  -> y=0 brk=--- rst=---
  stop  84  t=82.014h soc=199kWh  cd=2.37 sd=5.91 h=8.22  -> y=0 brk=--- rst=---
  stop  85  t=82.289h soc=174kWh  cd=2.64 sd=6.18 h=8.49  -> y=0 brk=--- rst=r1
  stop  86  t=94.041h soc=150kWh  cd=0.25 sd=0.25 h=0.25  -> y=0 brk=--- rst=---
  stop  87  t=94.391h soc=125kWh  cd=0.60 sd=0.60 h=0.60  -> y=0 brk=--- rst=---
  stop  88  t=94.672h soc=100kWh  cd=0.88 sd=0.88 h=0.88  -> y=1 brk=b15 rst=---
  stop  89  t=95.650h soc=216kWh  cd=1.17 sd=1.17 h=1.86  -> y=0 brk=--- rst=---
  stop  90  t=95.929h soc=187kWh  cd=1.44 sd=1.44 h=2.14  -> y=0 brk=--- rst=---
  stop  91  t=96.215h soc=159kWh  cd=1.73 sd=1.73 h=2.43  -> y=0 brk=--- rst=---
  stop  92  t=96.429h soc=136kWh  cd=1.94 sd=1.94 h=2.64  -> y=0 brk=--- rst=---
  stop  93  t=96.651h soc=115kWh  cd=2.17 sd=2.17 h=2.86  -> y=0 brk=--- rst=---
  stop  94  t=96.869h soc=100kWh  cd=2.38 sd=2.38 h=3.08  -> y=1 brk=b30 rst=---
  stop  95  t=97.838h soc=231kWh  cd=0.25 sd=2.63 h=4.05  -> y=0 brk=--- rst=---
  stop  96  t=98.119h soc=209kWh  cd=0.53 sd=2.92 h=4.33  -> y=0 brk=--- rst=---
  stop  97  t=98.359h soc=185kWh  cd=0.77 sd=3.15 h=4.57  -> y=0 brk=--- rst=---
  stop  98  t=98.681h soc=163kWh  cd=1.09 sd=3.48 h=4.89  -> y=0 brk=--- rst=---
  stop  99  t=98.973h soc=141kWh  cd=1.39 sd=3.77 h=5.18  -> y=0 brk=--- rst=---
  stop 100  t=99.224h soc=117kWh  cd=1.64 sd=4.02 h=5.43  -> y=1 brk=b45 rst=---
  stop 101  t=101.067h soc=395kWh  cd=0.25 sd=4.27 h=7.28  -> y=0 brk=--- rst=---
  stop 102  t=101.305h soc=371kWh  cd=0.49 sd=4.51 h=7.52  -> y=0 brk=--- rst=---
  stop 103  t=101.594h soc=349kWh  cd=0.78 sd=4.80 h=7.80  -> y=0 brk=--- rst=---
  stop 104  t=101.884h soc=321kWh  cd=1.07 sd=5.09 h=8.09  -> y=0 brk=--- rst=---
  stop 105  t=102.170h soc=293kWh  cd=1.35 sd=5.37 h=8.38  -> y=0 brk=--- rst=r2
