  Executing ROBU plan AS IS (static, no recourse)...
  stop  66  t=64.391h soc=159kWh  cd=1.88 sd=4.59 h=7.59  -> y=0 brk=--- rst=r1
  stop  67  t=76.107h soc=138kWh  cd=0.22 sd=0.22 h=0.22  -> y=0 brk=--- rst=---
  stop  68  t=76.470h soc=119kWh  cd=0.58 sd=0.58 h=0.58  -> y=0 brk=--- rst=---
  stop  69  t=76.695h soc=100kWh  cd=0.80 sd=0.80 h=0.80  -> y=1 brk=b15 rst=---
  stop  70  t=78.371h soc=278kWh  cd=1.49 sd=1.49 h=2.48  -> y=0 brk=--- rst=---
  stop  71  t=78.651h soc=251kWh  cd=1.77 sd=1.77 h=2.76  -> y=0 brk=--- rst=---
  stop  72  t=78.965h soc=225kWh  cd=2.09 sd=2.09 h=3.07  -> y=0 brk=--- rst=r1
  stop  73  t=90.369h soc=203kWh  cd=0.24 sd=0.24 h=0.24  -> y=0 brk=--- rst=---
  stop  74  t=90.608h soc=181kWh  cd=0.48 sd=0.48 h=0.48  -> y=0 brk=--- rst=---
  stop  75  t=90.830h soc=158kWh  cd=0.70 sd=0.70 h=0.70  -> y=0 brk=--- rst=---
  stop  76  t=91.104h soc=140kWh  cd=0.97 sd=0.97 h=0.97  -> y=0 brk=--- rst=---
  stop  77  t=91.307h soc=119kWh  cd=1.17 sd=1.17 h=1.17  -> y=0 brk=--- rst=---
  stop  78  t=91.546h soc=100kWh  cd=1.41 sd=1.41 h=1.41  -> y=1 brk=b45 rst=---
  stop  79  t=92.784h soc=292kWh  cd=0.29 sd=1.70 h=2.65  -> y=0 brk=--- rst=---
  stop  80  t=93.058h soc=266kWh  cd=0.56 sd=1.98 h=2.93  -> y=0 brk=--- rst=---
  stop  81  t=93.312h soc=240kWh  cd=0.82 sd=2.23 h=3.18  -> y=0 brk=--- rst=---
  stop  82  t=93.525h soc=220kWh  cd=1.03 sd=2.44 h=3.39  -> y=0 brk=--- rst=---
  stop  83  t=93.758h soc=201kWh  cd=1.26 sd=2.68 h=3.63  -> y=0 brk=--- rst=---
  stop  84  t=93.963h soc=181kWh  cd=1.47 sd=2.88 h=3.83  -> y=1 brk=b45 rst=---
  stop  85  t=95.490h soc=397kWh  cd=0.23 sd=3.12 h=5.36  -> y=0 brk=--- rst=---
  stop  86  t=95.817h soc=378kWh  cd=0.56 sd=3.44 h=5.69  -> y=0 brk=--- rst=---
  stop  87  t=96.031h soc=358kWh  cd=0.77 sd=3.66 h=5.90  -> y=0 brk=--- rst=---
  stop  88  t=96.323h soc=330kWh  cd=1.07 sd=3.95 h=6.19  -> y=0 brk=--- rst=---
  stop  89  t=96.615h soc=303kWh  cd=1.36 sd=4.24 h=6.48  -> y=0 brk=--- rst=---
  stop  90  t=96.969h soc=277kWh  cd=1.71 sd=4.60 h=6.84  -> y=0 brk=--- rst=---
  stop  91  t=97.238h soc=251kWh  cd=1.98 sd=4.86 h=7.11  -> y=0 brk=--- rst=---
  stop  92  t=97.499h soc=225kWh  cd=2.24 sd=5.12 h=7.37  -> y=0 brk=b45 rst=---
  stop  93  t=98.666h soc=201kWh  cd=0.25 sd=5.38 h=8.53  -> y=0 brk=--- rst=---
  stop  94  t=98.949h soc=178kWh  cd=0.53 sd=5.66 h=8.82  -> y=0 brk=--- rst=---
  stop  95  t=99.313h soc=156kWh  cd=0.90 sd=6.02 h=9.18  -> y=0 brk=--- rst=---
  stop  96  t=99.602h soc=133kWh  cd=1.19 sd=6.31 h=9.47  -> y=0 brk=--- rst=---
  stop  97  t=99.976h soc=100kWh  cd=1.56 sd=6.69 h=9.84  -> y=1 brk=b45 rst=---
  stop  98  t=101.487h soc=309kWh  cd=0.31 sd=7.00 h=11.35  -> y=0 brk=--- rst=---
  stop  99  t=101.799h soc=286kWh  cd=0.63 sd=7.31 h=11.67  -> y=0 brk=--- rst=---
  stop 100  t=102.063h soc=263kWh  cd=0.89 sd=7.58 h=11.93  -> y=0 brk=--- rst=r2
  stop 101  t=111.457h soc=240kWh  cd=0.23 sd=0.23 h=0.23  -> y=0 brk=--- rst=---
  stop 102  t=111.696h soc=218kWh  cd=0.47 sd=0.47 h=0.47  -> y=0 brk=--- rst=---
  stop 103  t=111.946h soc=196kWh  cd=0.72 sd=0.72 h=0.72  -> y=0 brk=--- rst=---
  stop 104  t=112.174h soc=174kWh  cd=0.94 sd=0.94 h=0.94  -> y=0 brk=--- rst=---
  stop 105  t=112.460h soc=149kWh  cd=1.23 sd=1.23 h=1.23  -> y=0 brk=--- rst=---
  stop 106  t=112.781h soc=126kWh  cd=1.55 sd=1.55 h=1.55  -> y=0 brk=--- rst=---
  stop 107  t=113.064h soc=102kWh  cd=1.83 sd=1.83 h=1.83  -> y=1 brk=b45 rst=---
  stop 108  t=114.631h soc=337kWh  cd=0.35 sd=2.19 h=3.40  -> y=0 brk=--- rst=---
  stop 109  t=114.842h soc=317kWh  cd=0.56 sd=2.40 h=3.61  -> y=0 brk=b15 rst=---
  stop 110  t=115.467h soc=297kWh  cd=0.77 sd=2.61 h=4.24  -> y=0 brk=b30 rst=---
  stop 111  t=116.577h soc=252kWh  cd=0.44 sd=3.05 h=5.35  -> y=0 brk=--- rst=---
  stop 112  t=116.832h soc=228kWh  cd=0.70 sd=3.31 h=5.60  -> y=0 brk=--- rst=---
  stop 113  t=117.079h soc=203kWh  cd=0.95 sd=3.55 h=5.85  -> y=0 brk=--- rst=---
  stop 114  t=117.367h soc=179kWh  cd=1.23 sd=3.84 h=6.14  -> y=0 brk=--- rst=---
  stop 115  t=117.672h soc=152kWh  cd=1.54 sd=4.15 h=6.44  -> y=0 brk=--- rst=---
  stop 116  t=117.960h soc=123kWh  cd=1.83 sd=4.43 h=6.73  -> y=0 brk=--- rst=---
  Robust-plan failures (raw): 5 violation(s); 0 supervisor intervention(s)

=================================================================
  ROBU SIMULATION COMPLETE
  Arrival (absolute) : 118.265 h  (118:15)
  Travel duration    : 110.265 h
  Solve time         : 51422.9 s
  Wall-clock         : 51422.9 s
=================================================================
  Oracle   : loaded from cache  solutions/oracle_RmediumCfewTlarge_16.json
  Scenarios: logs/RmediumCfewTlarge_16_ROBU_20260722_134924_007_scenarios.json
  Metrics  : violations=5 (stranding:5)  tw_hit=0% (early=0, late=2)  interventions=0  repairs=0
  Solution : solutions/RmediumCfewTlarge_16_ROBU_20260722_134924_007.json
